"url","Player link","Team link","Age number","Min number","Screen number","Deflections number","Looseballs number","Chargesdrawn number","Contested2pt number","Contested3pt number","Contested number"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","DeAndre' Bembry","ATL","22","5.0","0.0","0.3","0.0","0.00","0.1","0.3","0.4"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Dennis Schroder","ATL","23","30.0","0.2","1.6","1.1","0.13","3.3","2.5","5.8"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Dwight Howard","ATL","31","29.0","3.9","2.3","0.2","0.00","6.9","0.9","7.7"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Edy Tavares","ATL","24","4.0","0.0","0.0","0.0","0.00","1.0","0.0","1.0"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Kent Bazemore","ATL","27","27.0","0.2","2.8","0.5","0.09","3.3","2.5","5.7"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Kris Humphries","ATL","31","11.0","1.1","0.3","0.2","0.00","3.5","0.4","4.0"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Kyle Korver","ATL","35","28.0","0.4","1.4","0.4","0.14","3.6","2.5","6.1"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Malcolm Delaney","ATL","27","17.0","0.2","0.9","0.5","0.21","1.5","1.2","2.7"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Mike Muscala","ATL","25","22.0","1.3","0.9","0.2","0.13","7.6","2.1","9.8"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Mike Scott","ATL","28","9.0","1.3","0.0","0.3","0.00","1.0","0.7","1.7"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Paul Millsap","ATL","31","33.0","3.0","3.1","0.9","0.05","9.1","3.7","12.8"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Ryan Kelly","ATL","25","5.0","0.5","0.3","0.3","0.13","1.1","0.8","1.9"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Taurean Prince","ATL","22","11.0","0.0","0.7","0.1","0.06","1.9","1.4","3.3"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Thabo Sefolosha","ATL","32","25.0","0.3","3.2","0.7","0.00","3.8","2.6","6.4"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Tim Hardaway Jr.","ATL","24","22.0","0.2","0.8","0.5","0.13","2.2","2.5","4.6"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612738","Al Horford","BOS","30","32.0","4.2","1.6","0.7","0.00","9.9","3.8","13.6"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612738","Amir Johnson","BOS","29","20.0","2.0","1.3","0.4","0.08","6.1","0.9","7.0"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612738","Avery Bradley","BOS","26","35.0","0.3","2.5","1.1","0.00","2.8","2.8","5.6"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612738","Demetrius Jackson","BOS","22","4.0","0.0","0.3","0.0","0.00","0.5","0.5","1.0"
"http://stats.nba.com/league/player/#!/hustle/?sort=TEAM_ABBREVIATION&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612738","Gerald Green","BOS","30","10.0","0.0","0.3","0.3","0.00","1.8","1.1","2.8"
