"url","Player link","Team link","Gp number","Min number","Reb number","Contestedreb number 1","Uncontested number","Contestedreb number 2","Rebchances number","Rebchance number","Deferredreb number","Adjustedreb number","Avgreb number"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","DeAndre' Bembry","","8","5.3","0.6","0.0","0.6","0.0","1.5","41.7","0.5","62.5","9.7"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Dennis Schroder","","24","30.0","3.1","0.8","2.3","26.7","6.3","49.3","1.8","68.2","10.1"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Dwight Howard","","23","28.7","12.4","5.4","7.0","43.5","19.6","63.3","2.9","74.2","3.8"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Edy Tavares","","1","3.6","1.0","1.0","0.0","100","3.0","33.3","0.0","33.3","4.0"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Kent Bazemore","","22","27.0","3.3","1.0","2.2","31.9","7.0","46.8","2.2","68.6","7.8"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Kris Humphries","","19","10.8","2.9","0.9","2.0","32.7","6.8","42.6","1.8","58.5","5.0"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Kyle Korver","","22","28.4","2.4","0.6","1.9","24.5","5.7","42.1","1.4","55.8","8.6"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Malcolm Delaney","","24","16.6","1.8","0.4","1.5","20.5","3.1","59.5","0.8","81.5","8.5"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Mike Muscala","","24","22.0","4.0","1.5","2.6","36.1","9.3","43.5","2.4","58.4","5.5"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Mike Scott","","3","9.2","2.7","0.7","2.0","25.0","4.3","61.5","0.7","72.7","7.7"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Paul Millsap","","21","33.0","8.3","2.9","5.4","35.1","16.3","50.9","2.8","61.5","5.4"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Ryan Kelly","","8","4.9","1.1","0.6","0.5","55.6","2.0","56.3","0.1","60.0","3.1"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Taurean Prince","","16","11.0","2.3","0.4","1.8","19.4","3.7","61.0","0.8","76.6","7.2"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Thabo Sefolosha","","21","25.1","4.7","1.0","3.7","20.4","8.9","52.7","2.1","69.0","7.0"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612737","Tim Hardaway Jr.","","24","21.6","1.8","0.4","1.4","23.3","3.3","54.4","0.7","69.4","9.6"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612738","Al Horford","","14","32.4","6.3","2.6","3.7","40.9","11.2","56.1","1.9","67.2","6.8"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612738","Amir Johnson","","24","19.8","4.1","2.0","2.1","48.0","10.4","39.4","1.8","47.8","4.5"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612738","Avery Bradley","","24","35.5","7.5","1.8","5.8","23.8","13.0","58.2","2.4","71.3","6.0"
"http://stats.nba.com/players/rebounding/#!?sort=PLAYER_NAME&dir=-1&Season=2016-17&SeasonType=Regular%20Season&DateTo=12%2F12%2F2016&TeamID=1610612738","Demetrius Jackson","","4","4.2","1.0","0.0","1.0","0.0","1.5","66.7","0.3","80.0","11.5"
